Tabelle: 48112-0004
Unternehmen (EU), Waren- und Dienstleistungskäufe, ;;;;;;;;;;;;;;;;;;
Bruttoinvestitionen u.w. betriebsw. Kennzahlen: Deutschland,;;;;;;;;;;;;;;;;;;
Jahre, Wirtschaftszweige (WZ2008 1-4-Steller Hierarchie);;;;;;;;;;;;;;;;;;
Bereichsübergreifende Unternehmensstatistik;;;;;;;;;;;;;;;;;;
Deutschland;;;;;;;;;;;;;;;;;;
;;Unternehmen (EU);Waren- und Dienstleistungskäufe;Käufe v.Waren u.DL z.Wiederverk. i.unveränd. Zust.;Aufwendungen für Leiharbeitnehmer;Käufe von Energieprodukten;Vorratsveränd. bei fertigen und unfertigen Waren;Vorratsveränderungen bei Waren;Vorratsveränderungen bei Waren f. d. Wiederverkauf;Bruttoinvestitionen in Sachanlagen;Bruttoinvestitionen in Maschinen und Ausrüstungen;Bruttoinvest. in langfrist. immat. Vermögenswerte;Kosten für Rohstoffe bzw. Rohstoffeinkauf;Rohstoffverbrauch;Handelswareneinsatz;Zahlungen an Unterauftragnehmer;Einkünfte aus Unteraufträgen;Kosten für Mieten und Pachten
;;Anzahl;Mill. EUR;Mill. EUR;Mill. EUR;Mill. EUR;Mill. EUR;Mill. EUR;Mill. EUR;Mill. EUR;Mill. EUR;Mill. EUR;Mill. EUR;Mill. EUR;Mill. EUR;Mill. EUR;Mill. EUR;Mill. EUR
2018;;;;;;;;;;;;;;;;;;
WZ08-351;    Elektrizitätsversorgung;61080;885670;20292;256;.;188;6675;.;21791;19971;825;24745;28452;20550;582;.;4086
WZ08-3511;      Elektrizitätserzeugung;58655;236690;2221;79;.;45;2587;.;6073;5181;186;13331;16343;2455;443;.;1584
WZ08-3512;      Elektrizitätsübertragung;321;46978;.;.;.;6;67;.;6036;5760;123;237;175;.;.;.;56
WZ08-3513;      Elektrizitätsverteilung;1048;70838;.;68;.;89;248;.;6808;6437;344;5420;5526;.;79;.;1937
WZ08-3514;      Elektrizitätshandel;1056;531165;.;.;.;50;3772;.;2874;2593;173;5757;6407;17004;.;.;509
WZ08-352;    Gasversorgung;3767;420096;899;29;.;20;5113;.;1463;1358;41;5191;5211;691;5;.;548
WZ08-3521;      Gaserzeugung;3516;1489;19;.;.;5;5;.;76;57;3;353;356;.;2;.;22
WZ08-3522;      Gasverteilung durch Rohrleitungen;114;17233;.;.;.;2;23;.;546;517;9;841;833;32;.;.;83
WZ08-3523;      Gashandel durch Rohrleitungen;137;401375;.;16;.;13;5085;.;840;784;29;3997;4022;.;.;.;443
WZ08-353;    Wärme- und Kälteversorgung;1505;8286;4;5;.;0;230;.;957;892;5;4315;4097;4;33;.;48
WZ08-E;Wasserversorg.,Entsorg.,Beseitig.v.Umweltverschm.;9838;53815;3280;334;.;135;319;.;9554;7891;153;18660;18948;7286;2434;.;1390
WZ08-36;  Wasserversorgung;1719;10664;32;5;.;62;81;.;2759;2548;40;810;813;39;37;.;75
WZ08-37;  Abwasserentsorgung;1903;4454;.;10;.;-6;6;.;3148;2657;23;907;903;.;123;.;87
WZ08-38;  Sammlung, Abfallbeseitigung, Rückgewinnung;5776;37904;3210;301;.;76;225;.;3589;2637;90;16735;17028;7200;2174;.;1197
WZ08-381;    Sammlung von Abfällen;1894;17472;1775;185;.;32;98;.;1831;1371;51;5841;6149;5337;1457;.;666
WZ08-3811;      Sammlung nicht gefährlicher Abfälle;1813;17212;1762;184;.;32;93;.;1801;1344;50;5743;6052;5314;1453;.;652
WZ08-3812;      Sammlung gefährlicher Abfälle;81;260;13;1;.;0;5;.;30;27;1;98;97;22;4;.;14
WZ08-382;    Abfallbehandlung und -beseitigung;1654;7857;160;66;.;9;57;.;1108;877;33;2548;2548;229;457;.;279
WZ08-3821;      Behandlung u. Beseitig. nicht gefährlicher Abfälle;1414;6829;.;49;.;13;50;.;1017;806;28;2213;2220;221;322;.;241
WZ08-3822;      Behandlung und Beseitigung gefährlicher Abfälle;240;1028;.;17;.;-4;7;.;90;72;5;335;327;7;136;.;38
WZ08-383;    Rückgewinnung;2228;12575;1275;50;.;35;69;.;651;388;6;8346;8331;1635;260;.;251
WZ08-3831;      Zerlegen v. Schiffs- u. Fahrzeugwracks u. Altwaren;493;1279;70;2;.;1;-6;.;27;25;0;1074;1079;74;6;.;16
WZ08-3832;      Rückgewinnung sortierter Werkstoffe;1735;11295;1205;48;.;34;75;.;624;364;6;7273;7252;1561;254;.;235
WZ08-39;  Beseitigung v. Umweltverschm. u.sonst.Entsorgung;440;793;.;18;.;4;8;.;58;49;0;207;204;.;99;.;31
WZ08-F;Baugewerbe;382005;257501;8198;113;7511;23876;2048;.;13342;9435;.;117137;118738;9343;89868;17243;26792
WZ08-41;  Hochbau;28885;76630;3915;21;1031;9521;928;.;3346;1376;.;21540;22418;4293;42770;3282;4592
WZ08-411;    Erschließung von Grundstücken, Bauträger;7475;19414;258;0;129;1227;-18;.;1243;185;.;3377;3400;345;13953;571;1345
WZ08-412;    Bau von Gebäuden;21410;57216;3657;21;903;8295;946;.;2103;1192;.;18163;19019;3948;28816;2712;3247
WZ08-42;  Tiefbau;11925;33641;651;47;1914;3731;292;.;2749;2289;.;13250;13841;747;12835;2392;3100
WZ08-421;    Bau von Straßen und Bahnverkehrsstrecken;4556;16785;331;24;954;1923;126;.;1213;1051;.;6938;7389;390;6263;1193;1481
WZ08-4211;      Bau von Straßen;3845;13519;300;23;829;1389;110;.;1015;882;.;5913;6334;359;4691;973;1232
WZ08-4212;      Bau von Bahnverkehrsstrecken;459;1535;.;.;76;126;11;.;126;103;.;464;496;.;674;124;145
WZ08-4213;      Brücken- und Tunnelbau;252;1730;.;.;49;408;5;.;71;67;.;560;559;.;898;97;104
WZ08-422;    Leitungstiefbau und Kläranlagenbau;4158;9558;216;12;544;973;117;.;977;784;.;3601;3662;230;3652;698;947
WZ08-4221;      Rohrleitungstiefbau, Brunnenbau und Kläranlagenbau;2189;4953;93;.;297;407;12;.;480;432;.;2045;2117;106;1709;379;474
WZ08-4222;      Kabelnetzleitungstiefbau;1969;4606;123;.;247;566;105;.;498;352;.;1556;1546;125;1943;319;472
WZ08-429;    Sonstiger Tiefbau;3211;7298;104;11;416;834;49;.;559;454;.;2711;2789;126;2921;500;673
WZ08-4291;      Wasserbau;183;518;.;.;26;79;24;.;25;23;.;162;154;.;248;4;39
WZ08-4299;      Sonstiger Tiefbau a.n.g.;3028;6780;.;.;389;755;25;.;534;431;.;2549;2635;.;2673;497;634
WZ08-43;  Vorb.Baustellenarbeiten, Bauinstall., sonst.Ausbau;341195;147230;3631;45;4566;10624;828;.;7247;5770;.;82348;82479;4303;34263;11569;19100
WZ08-431;    Abbrucharbeiten u. vorbereit. Baustellenarbeiten;8501;5635;98;2;625;252;11;.;703;547;.;2143;2147;105;2065;504;795
WZ08-4311;      Abbrucharbeiten;4135;3177;43;1;308;135;11;.;289;190;.;983;988;46;1380;267;438
WZ08-4312;      Vorbereitende Baustellenarbeiten;4201;2331;53;.;307;112;-2;.;402;345;.;1126;1126;56;639;232;336
WZ08-4313;      Test- und Suchbohrung;165;127;2;.;10;5;1;.;12;11;.;34;33;3;47;6;21
WZ08-432;    Bauinstallation;134203;73136;2018;28;1783;5561;599;.;2536;1994;.;43895;43935;2528;14937;5622;7924
WZ08-4321;      Elektroinstallation;39782;24603;1047;5;591;2312;353;.;888;684;.;14986;15094;1333;4576;2718;2593
WZ08-4322;      Gas-, Wasser-, Heizungs-, Lüftungs- u. Klimainst.;49315;35621;720;13;863;2508;179;.;1180;891;.;22064;21988;790;7260;1879;3746
WZ08-4329;      Sonstige Bauinstallation;45106;12912;251;10;329;741;67;.;468;419;.;6846;6853;406;3102;1025;1585
WZ08-433;    Sonstiger Ausbau;141138;35951;874;2;1001;2004;87;.;1809;1461;.;20242;20223;947;7895;2686;5940
WZ08-4331;      Anbringen v. Stuckaturen, Gipserei u. Verputzerei;10980;4667;64;.;99;275;4;.;153;124;.;2120;2122;64;1736;525;636
WZ08-4332;      Bautischlerei und -schlosserei;39117;10371;343;0;280;445;17;.;718;582;.;6632;6626;364;1463;549;1724
WZ08-4333;      Fußboden-, Fliesen-, Plattenlegerei, Tapeziererei;47583;9789;126;0;260;582;29;.;415;333;.;5739;5732;160;2026;712;1713
WZ08-4334;      Malerei und Glaserei;33344;9056;333;1;306;581;35;.;456;381;.;4778;4771;351;1930;710;1571
WZ08-4339;      Sonstiger Ausbau a.n.g.;10114;2068;8;.;56;121;2;.;68;41;.;973;972;8;741;190;297
WZ08-439;    Sonstige spezialisierte Bautätigkeiten;57353;32508;641;13;1157;2807;131;.;2199;1768;.;16068;16174;722;9366;2757;4441
WZ08-4391;      Dachdeckerei und Zimmerei;28468;14506;168;1;335;1494;38;.;802;594;.;9019;9038;180;2731;638;2078
WZ08-4399;      Sonstige spezialisierte Bautätigkeiten a.n.g.;28885;18002;473;11;822;1313;94;.;1397;1174;.;7049;7136;543;6634;2119;2362
WZ08-G;Handel, Instandhaltung und Reparatur von Kfz;537521;2107014;1807496;4934;.;45;30510;26529;42496;25635;.;79871;75956;1843951;.;.;42507
WZ08-45;  Kfz-Handel, Instandhaltung und Reparatur von Kfz;107146;263459;221711;350;.;381;7503;6486;7742;5226;.;18660;18025;219998;.;.;4366
WZ08-451;    Handel mit Kraftwagen;35007;196358;173652;150;.;209;5710;5013;5634;3916;.;9887;9399;172283;.;.;2186
WZ08-4511;      Handel mit Kraftwagen mit Gesamtgewicht bis 3,5t;32833;186377;165114;139;.;170;5277;4638;5061;3416;.;9164;8696;163888;.;.;2059
WZ08-4519;      Handel mit Kraftwagen mit Gesamtgewicht über 3,5t;2174;9981;8539;11;.;39;434;375;573;500;.;723;703;8395;.;.;127
WZ08-452;    Instandhaltung und Reparatur von Kraftwagen;51887;19335;8409;48;.;129;396;199;1312;863;.;6383;6315;8451;.;.;1257
WZ08-453;    Handel mit Kraftwagenteilen und -zubehör;15544;42736;35407;140;.;37;1115;1023;673;371;.;2119;2065;35271;.;.;816
WZ08-4531;      Großhandel mit Kraftwagenteilen und -zubehör;2863;31889;27208;118;.;25;870;797;401;194;.;1421;1374;26650;.;.;445
WZ08-4532;      Einzelhandel mit Kraftwagenteilen und -zubehör;12681;10847;8199;23;.;12;245;225;272;177;.;698;690;8621;.;.;371
WZ08-454;    Handel m.Krafträder,Teile u.Zubeh.,Instandh.u.Rep.;4708;5031;4243;12;.;6;281;252;124;75;.;271;247;3993;.;.;107
WZ08-46;  Großhandel (ohne Handel mit Kraftfahrzeugen);123773;1223328;1094843;2136;.;-715;15023;13616;17288;10721;.;36123;34011;1092355;.;.;11369
WZ08-461;    Handelsvermittlung;32716;8291;5675;16;.;14;68;13;325;220;.;563;523;5702;.;.;350
WZ08-4611;      V.v. landw.Grundstf.,leb.Tieren,text.Rohstf. usw;1512;184;36;.;.;-2;0;2;26;25;.;50;50;35;.;.;5
WZ08-4612;      V.v. Brennstf.,Erzen,Metallen u.techn.Chemikalien;851;95;61;.;.;0;0;0;5;2;.;11;10;61;.;.;6
WZ08-4613;      V.v. Holz, Baustoffen und Anstrichmitteln;4776;643;436;2;.;-2;10;0;22;21;.;68;56;436;.;.;28
WZ08-4614;      V.v. Maschinen,techn.Bedarf,Wasser-u.Luftfahrz.;8357;2066;1393;3;.;30;39;7;70;47;.;219;216;1386;.;.;111
WZ08-4615;      V.v. Möbeln, Einr.-u.Haush.gegenst., Metallwaren;3509;1105;912;3;.;-2;10;12;31;13;.;22;22;900;.;.;39
WZ08-4616;      V.v. Textilien, Bekleidung, Schuhen u. Lederwaren;2317;804;520;.;.;0;4;0;34;26;.;87;83;557;.;.;47
WZ08-4617;      V.v. Nahrungsmitteln, Getränken und Tabakwaren;1698;1539;1372;1;.;0;6;3;47;7;.;17;14;1369;.;.;25
WZ08-4618;      V.v. sonstigen Waren;7792;1703;863;6;.;-9;-6;-15;85;74;.;76;58;881;.;.;73
WZ08-4619;      V.v. Waren ohne ausgeprägten Schwerpunkt;1906;151;82;1;.;-1;5;6;7;6;.;13;12;76;.;.;15
WZ08-462;    Großhandel m.landw.Grundstoffen u.lebenden Tieren;4488;53117;48417;39;.;30;721;506;535;326;.;2025;1840;48492;.;.;289
WZ08-4621;      Großh.m. Getreide,Rohtabak,Saatgut u.Futtermitteln;1813;35344;32023;21;.;15;672;490;315;219;.;1721;1554;32093;.;.;174
WZ08-4622;      Großhandel mit Blumen und Pflanzen;1078;6119;5408;17;.;-3;17;13;143;48;.;145;138;5414;.;.;83
WZ08-4623;      Großhandel mit lebenden Tieren;1451;11387;10777;1;.;18;34;2;62;51;.;147;133;10775;.;.;27
WZ08-4624;      Großhandel mit Häuten, Fellen und Leder;146;267;209;1;.;0;-3;0;16;7;.;11;14;210;.;.;6
WZ08-463;    Großh.m. Nahrungs-,Genussm.,Getränken u.Tabakwaren;12797;229946;208344;476;.;9;1324;1573;2205;1396;.;6073;6332;209794;.;.;2015
WZ08-4631;      Großhandel mit Obst, Gemüse und Kartoffeln;1924;25473;23215;84;.;0;39;21;279;170;.;706;689;23330;.;.;226
WZ08-4632;      Großhandel mit Fleisch und Fleischwaren;1093;13010;11641;16;.;3;74;64;153;106;.;450;443;11908;.;.;103
WZ08-4633;      Großh.m. Milcherzeugn.,Eiern,Speiseöl u.ä.Fetten;671;9766;9045;20;.;-2;36;36;60;38;.;197;195;9105;.;.;40
WZ08-4634;      Großhandel mit Getränken;2835;19566;16770;72;.;0;234;178;327;193;.;483;427;16776;.;.;268
WZ08-4635;      Großhandel mit Tabakwaren;230;23473;22264;27;.;-5;-61;-38;87;63;.;172;191;22320;.;.;55
WZ08-4636;      Großhandel mit Zucker, Süßwaren und Backwaren;423;4088;3325;13;.;1;66;52;83;50;.;270;257;4033;.;.;45
WZ08-4637;      Großhandel mit Kaffee, Tee, Kakao und Gewürzen;868;6890;5574;16;.;-12;-89;25;57;51;.;656;759;5887;.;.;72
WZ08-4638;      Großhandel mit sonst. Nahrungs- und Genussmitteln;3430;37989;32386;72;.;-26;40;149;470;293;.;2068;2151;33259;.;.;440
WZ08-4639;      Großh.m. Nahrungs-,Genussm.,Getränken u.Tabakw.oaS;1323;89692;84124;156;.;49;986;1086;688;432;.;1071;1220;83176;.;.;766
WZ08-464;    Großh.m. Gebrauchs- und Verbrauchsgütern;24004;237206;202385;592;.;-1544;1362;2270;3150;1636;.;5656;5018;202719;.;.;2717
WZ08-4641;      Großhandel mit Textilien;1666;4611;3666;16;.;25;126;86;108;74;.;322;307;3606;.;.;102
WZ08-4642;      Großhandel mit Bekleidung und Schuhen;2521;22502;17718;39;.;-1;-374;-167;418;152;.;507;713;19527;.;.;526
WZ08-4643;      Großh.m. Foto-,opt.Erzeugn.,elektr.Haush.ger. usw;1618;31863;27444;88;.;4;101;78;297;199;.;453;435;27378;.;.;263
WZ08-4644;      Großh.m. keram.Erzeugn., Glaswaren u.Reinigungsm.;1189;5380;4348;16;.;22;123;96;142;56;.;139;134;4269;.;.;104
WZ08-4645;      Großh.m. kosmet.Erzeugnissen u.Körperpflegemitteln;1295;9973;7195;25;.;18;278;244;232;94;.;454;438;7010;.;.;131
WZ08-4646;      Großh.m. pharmazeut., med.u.othopäd. Erzeugnissen;5742;104712;93251;292;.;-1615;-853;706;985;586;.;1614;1558;93129;.;.;763
WZ08-4647;      Großh.m. Möbeln, Teppichen, Lampen und Leuchten;1472;6802;5596;16;.;8;127;125;176;71;.;201;207;5549;.;.;134
WZ08-4648;      Großhandel mit Uhren und Schmuck;1286;4145;3308;6;.;8;85;80;77;53;.;121;125;3327;.;.;70
WZ08-4649;      Großh.m. sonstigen Gebrauchs- und Verbrauchsgütern;7215;47219;39859;93;.;-14;1749;1021;715;351;.;1844;1102;38923;.;.;624
WZ08-465;    Großh.m. Geräten d.Informat.-u.Kommunik.technik;5165;127488;115774;261;.;70;2291;1489;957;709;.;3277;2544;117007;.;.;875
WZ08-4651;      Großh.m. DV-Gerät.,peripheren Einheiten u.Software;2415;70115;64896;162;.;-13;955;670;437;321;.;1674;1375;66896;.;.;514
WZ08-4652;      Großh.m. elektron.Bauteilen und Telekomm.geräten;2750;57373;50878;99;.;83;1336;819;520;388;.;1603;1169;50111;.;.;361
WZ08-466;    Großh.m. sonst.Maschinen, Ausrüstungen u.Zubehör;20442;114123;98341;277;.;311;3629;3299;4349;3376;.;3925;3909;95415;.;.;1768
WZ08-4661;      Großh.m. landwirtschaftlichen Maschinen u. Geräten;1849;13448;11770;28;.;75;682;534;324;227;.;496;423;11251;.;.;165
WZ08-4662;      Großhandel mit Werkzeugmaschinen;1323;8883;7585;20;.;-22;272;293;83;57;.;249;249;7332;.;.;132
WZ08-4663;      Großh.m. Bergwerks-, Bau- und Baustoffmaschinen;1056;10091;8871;18;.;30;360;296;748;691;.;345;310;8745;.;.;158
WZ08-4664;      Großh.m. Textil-, Näh- und Strickmaschinen;104;75;61;.;.;-1;5;10;2;1;.;9;13;51;.;.;1
WZ08-4665;      Großhandel mit Büromöbeln;1154;3928;3236;18;.;7;93;78;151;42;.;165;156;3178;.;.;81
WZ08-4666;      Großh.m. sonstigen Büromaschinen u. -einrichtungen;669;2064;1780;.;.;3;38;36;80;33;.;40;41;1744;.;.;47
WZ08-4669;      Großh.m. sonstigen Maschinen und Ausrüstungen;14287;75634;65038;189;.;219;2178;2053;2962;2324;.;2621;2717;63113;.;.;1183
WZ08-467;    Sonstiger Großhandel;22229;424444;389834;449;.;346;5027;3946;5477;2901;.;13953;13225;387648;.;.;2960
WZ08-4671;      Großh.m. festen Brennstoffen und Mineralölerzeugn.;1905;166944;160222;31;.;13;592;532;801;509;.;3573;3528;159705;.;.;389
WZ08-4672;      Großh.m. Erzen, Metallen und Metallhalbzeug;1916;74082;69278;92;.;7;810;698;848;348;.;1937;1833;68795;.;.;395
WZ08-4673;      Großh.m. Holz,Baustf.,Sanitärkeramik u.Anstrichm.;6757;69177;61401;92;.;-1;792;533;1632;782;.;2652;2398;61404;.;.;956
WZ08-4674;      Großh.m. Metallwaren u.Ä. f.d.Bau u.Inst.bedarf;6143;54222;46233;184;.;251;2015;1574;1382;714;.;2094;1903;45072;.;.;803
WZ08-4675;      Großhandel mit chemischen Erzeugnissen;1998;40749;35923;33;.;67;812;577;450;330;.;2408;2240;35696;.;.;245
WZ08-4676;      Großhandel mit sonstigen Halbwaren;1089;3992;3400;7;.;4;-17;-23;108;32;.;313;312;3431;.;.;39
WZ08-4677;      Großhandel mit Altmaterialien und Reststoffen;2420;15278;13377;11;.;5;23;54;255;186;.;976;1012;13545;.;.;135
WZ08-469;    Großhandel ohne ausgeprägten Schwerpunkt;1932;28713;26072;26;.;49;600;519;290;158;.;653;621;25577;.;.;395
WZ08-47;  Einzelhandel (ohne Handel mit Kraftfahrzeugen);306603;620227;490943;2447;.;379;7985;6427;17466;9688;.;25088;23919;531598;.;.;26771
WZ08-471;    Eh.m. Waren verschiedener Art (in Verkaufsräumen);30320;224396;186947;478;.;100;1550;1363;8117;3962;.;7869;7782;222885;.;.;9923
WZ08-4711;      Eh.m. Waren versch. Art, Hauptr. Nahrungsm. usw;22324;206117;173634;399;.;88;1156;1019;7560;3723;.;7190;7141;209881;.;.;8588
WZ08-4719;      Sonstiger Einzelhandel mit Waren verschiedener Art;7996;18279;13313;79;.;12;394;344;557;239;.;678;640;13004;.;.;1334
WZ08-472;    Eh.m. Nahrungsmitteln usw (in Verkaufsräumen);42376;21940;16972;22;.;13;160;85;671;466;.;1482;1420;17349;.;.;1313
WZ08-4721;      Einzelhandel mit Obst, Gemüse und Kartoffeln;5343;1897;1485;5;.;3;27;12;59;57;.;135;122;1473;.;.;95
WZ08-4722;      Einzelhandel mit Fleisch und Fleischwaren;3666;1787;1254;1;.;1;24;13;101;75;.;198;189;1288;.;.;114
WZ08-4723;      Eh.m. Fisch und Fischerzeugnissen, Meeresfrüchten;1392;549;402;0;.;0;7;6;46;30;.;45;44;395;.;.;28
WZ08-4724;      Einzelhandel mit Back- und Süßwaren;5496;1770;896;3;.;-1;23;17;95;74;.;306;300;1004;.;.;286
WZ08-4725;      Einzelhandel mit Getränken;9853;6271;5068;6;.;13;66;57;167;98;.;323;326;5172;.;.;286
WZ08-4726;      Einzelhandel mit Tabakwaren;6923;5581;4792;1;.;1;-2;-21;39;31;.;221;203;4883;.;.;245
WZ08-4729;      Sonstiger Eh.m. Nahrungs- und Genussmitteln;9703;4085;3076;6;.;-4;15;1;164;101;.;254;236;3134;.;.;258
WZ08-473;    Einzelhandel mit Motorenkraftstoffen (Tankstellen);6117;14861;13299;9;.;1;119;110;204;101;.;495;486;13200;.;.;399
WZ08-474;    Eh.m. Kommunik.- und Info.technik (in Verkaufsr.);13377;21283;18397;16;.;10;104;73;400;267;.;448;427;18919;.;.;620
WZ08-4741;      Eh.m. DV-Gerät., peripheren Einheiten und Software;5255;2613;2195;2;.;3;32;28;211;137;.;132;131;2246;.;.;120
WZ08-4742;      Einzelhandel mit Telekommunikationsgeräten;3899;1695;1330;5;.;1;27;18;41;29;.;74;66;1519;.;.;106
WZ08-4743;      Eh.m. Geräten der Unterhaltungselektronik;4224;16974;14871;9;.;7;46;26;148;102;.;242;230;15153;.;.;393
WZ08-475;    Eh.m. sonst. Haush.geräten usw (in Verkaufsräumen);43068;58095;42808;874;.;88;1468;1152;1984;948;.;2985;2760;45778;.;.;3829
WZ08-4751;      Einzelhandel mit Textilien;6327;1668;1050;.;.;4;37;22;99;38;.;112;100;1032;.;.;179
WZ08-4752;      Eh.m. Metallw.,Anstrichm.u.Bau-u.Heimwerkerbedarf;12463;23239;18182;132;.;57;811;609;820;406;.;1432;1288;20632;.;.;1429
WZ08-4753;      Eh.m. Vorhängen,Teppichen u. Bodenbelägen, Tapeten;3477;2292;1694;.;.;-6;24;20;54;46;.;147;139;1694;.;.;179
WZ08-4754;      Einzelhandel mit elektrischen Haushaltsgeräten;5633;3111;2303;30;.;4;47;35;106;43;.;152;145;2272;.;.;140
WZ08-4759;      Eh.m. Möbeln, Einr.gegenständen und sonst. Hausrat;15167;27784;19579;704;.;28;549;466;905;416;.;1142;1088;20147;.;.;1902
WZ08-476;    Eh.m. Sportausrüstg., Verlagserzeugn. u.Spielwaren;23175;18329;14376;51;.;18;1125;1030;466;228;.;663;600;14380;.;.;1037
WZ08-4761;      Einzelhandel mit Büchern;3984;3342;2447;1;.;8;72;56;39;24;.;95;89;2733;.;.;198
WZ08-4762;      Eh.m. Zeitungen, Zeitschr. u.Schreibw., Bürobedarf;6194;2079;1592;.;.;2;26;13;38;24;.;98;91;1623;.;.;179
WZ08-4763;      Eh.m. bespielten Ton- und Bildträgern;285;155;108;.;.;5;12;10;0;0;.;23;26;98;.;.;3
WZ08-4764;      Eh.m. Fahrrädern, Sport- und Campingartikeln;10413;11389;9126;32;.;-1;998;936;368;166;.;405;349;8821;.;.;563
WZ08-4765;      Einzelhandel mit Spielwaren;2299;1364;1104;.;.;3;17;16;20;14;.;42;44;1104;.;.;95
WZ08-477;    Eh.m. sonstigen Gütern (in Verkaufsräumen);94954;139499;110467;363;.;73;1585;994;2870;1821;.;6702;6178;112099;.;.;7753
WZ08-4771;      Einzelhandel mit Bekleidung;18991;27850;18243;137;.;37;549;150;906;447;.;1657;1289;19974;.;.;3127
WZ08-4772;      Einzelhandel mit Schuhen und Lederwaren;4597;7245;5292;20;.;-1;359;337;212;87;.;157;134;5212;.;.;741
WZ08-4773;      Apotheken;17698;57193;50884;50;.;2;127;126;553;402;.;2531;2531;50840;.;.;851
WZ08-4774;      Eh.m. medizinischen und orthopädischen Artikeln;4564;4207;2603;16;.;-6;-28;-24;269;210;.;390;387;2773;.;.;349
WZ08-4775;      Eh.m. kosmet. Erzeugnissen und Körperpflegemitteln;3118;16794;13843;109;.;-2;244;242;266;192;.;105;102;13616;.;.;1144
WZ08-4776;      Eh.m. Blumen, Pflanzen, Sämereien, Düngem., usw;15640;6858;4862;12;.;5;38;31;215;134;.;615;612;4853;.;.;438
WZ08-4777;      Einzelhandel mit Uhren und Schmuck;6468;5647;4369;7;.;9;161;91;116;89;.;325;264;4287;.;.;305
WZ08-4778;      Sonstiger Einzelhandel in Verkaufsräumen;18762;12974;9875;12;.;33;132;38;303;241;.;855;794;10051;.;.;728
WZ08-4779;      Einzelhandel mit Antiquitäten und Gebrauchtwaren;5115;731;497;0;.;-4;2;3;30;19;.;67;64;493;.;.;70
WZ08-478;    Einzelhandel an Verkaufsständen und auf Märkten;5321;1038;744;1;.;1;9;-3;35;31;.;90;79;746;.;.;67
WZ08-4781;      Eh.m. Nahrungsmitteln usw an Verkaufsständen u.Ä.;3426;855;634;1;.;1;7;0;29;25;.;71;64;634;.;.;50
WZ08-4782;      Eh.m. Textilien usw an Verkaufsständen u.Ä.;822;92;59;.;.;0;2;0;1;1;.;7;5;59;.;.;9
WZ08-4789;      Eh.m. sonstigen Gütern an Verkaufsständen u.Ä.;1072;92;50;.;.;1;1;-2;5;4;.;12;10;53;.;.;8
WZ08-479;    Einzelhandel (nicht in Verkaufsräumen u.Ä.);47895;120785;86932;634;.;75;1864;1622;2719;1864;.;4354;4187;86243;.;.;1831
WZ08-4791;      Versand- und Internet-Einzelhandel;36127;107829;75715;626;.;50;1722;1585;2500;1679;.;3900;3812;74669;.;.;1593
WZ08-4799;      Sonstiger Eh. (nicht in Verkaufsräumen u.Ä.);11768;12956;11217;9;.;25;142;38;219;186;.;455;374;11574;.;.;238
WZ08-H;Verkehr und Lagerei;100877;308587;155525;4185;.;-1766;-571;.;39155;29043;.;51676;51368;155206;.;.;14197
WZ08-49;  Landverkehr und Transport in Rohrfernleitungen;64839;74466;26241;684;.;13;453;.;14950;13314;.;16092;15672;26189;.;.;4347
WZ08-491;    Personenbeförderung im Eisenbahnfernverkehr;26;4550;53;25;.;-2;39;.;.;.;.;716;676;52;.;.;.
WZ08-492;    Güterbeförderung im Eisenbahnverkehr;170;7821;5070;83;.;-7;26;.;.;.;.;743;711;5069;.;.;457
WZ08-493;    Sonstige Personenbeförderung im Landverkehr;26608;25149;9425;164;.;-207;-133;.;5300;4660;.;4872;4705;9522;.;.;1286
WZ08-4931;      Personenbef. im Nahverkehr zu Lande (ohne Taxis);3005;21535;8856;122;.;-205;-90;.;4405;3891;.;3897;3765;8877;.;.;1031
WZ08-4932;      Betrieb von Taxis;20724;1866;231;6;.;2;10;.;361;344;.;429;400;252;.;.;139
WZ08-4939;      Sonstige Personenbeförderung im Landverkehr a.n.g.;2878;1748;339;36;.;-5;-53;.;534;425;.;546;540;393;.;.;115
WZ08-494;    Güterbeförderung i.Straßenverkehr,Umzugstransporte;38007;34095;10592;409;.;217;499;.;6956;6216;.;8550;8369;10457;.;.;2268
WZ08-4941;      Güterbeförderung im Straßenverkehr;35010;33613;10494;396;.;204;483;.;6888;6167;.;8428;8255;10355;.;.;2215
WZ08-4942;      Umzugstransporte;2997;482;99;13;.;12;16;.;68;50;.;122;114;102;.;.;54
WZ08-495;    Transport in Rohrfernleitungen;29;2851;1099;2;.;12;22;.;705;634;.;1211;1212;1089;.;.;.
WZ08-50;  Schifffahrt;1386;44005;27617;297;.;-43;174;.;4213;3859;.;9427;9231;27596;.;.;378
WZ08-501;    Personenbeförderung i.d. See- u. Küstenschifffahrt;102;2606;968;22;.;-12;36;.;.;.;.;615;588;947;.;.;31
WZ08-502;    Güterbeförderung in der See- und Küstenschifffahrt;427;39757;26054;252;.;-29;130;.;2872;2823;.;8208;8042;26061;.;.;215
WZ08-503;    Personenbeförderung in der Binnenschifffahrt;377;287;61;6;.;0;3;.;.;.;.;65;62;61;.;.;44
WZ08-504;    Güterbeförderung in der Binnenschifffahrt;481;1356;534;17;.;-3;5;.;424;134;.;539;539;527;.;.;88
